CODE FOYER;RANG LUMINAIRE;ARMOIRE;ADRESSE;DOMAINE;TYPE SUPPORT;NATURE SUPPORT;HAUTEUR SUPPORT;ETAT SUPPORT;OBSERVATION SUPPORT;COFFRET CLASSE II;MISE A LA TERRE MAT;TYPE CROSSE;SAILLIE CROSSE;ETAT CROSSE;OBSERVATION CROSSE;MARQUE LUMINAIRE;MODELE LUMINAIRE;HAUTEUR DE FEU;ETAT LUMINAIRE;TYPE SOURCE;NOMBRE DE LEDS;PUISSANCE ESTIMEE SOURCE;TYPE DE FIXATION;OBSERVATION LUMINAIRE;TYPE RESEAU;OBSERVATION RESEAU;X;Y
186/8088;1;295;PASSAGE MADAME DE POMPADOUR;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;5;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;ABEL;ELLO;5;BON;LED;16;;LATERALE;;SOUTERRAIN;;2.98965858744397;42.6707786360355
186/496;1;295;PASSAGE MADAME DE POMPADOUR;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;5;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;ABEL;ELLO;5;BON;LED;16;;LATERALE;;SOUTERRAIN;;2.98937999741649;42.6707754953787
186/495;1;295;PASSAGE MADAME DE POMPADOUR;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;5;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;ABEL;ELLO;5;BON;LED;16;;LATERALE;;SOUTERRAIN;;2.98912876198773;42.6707665945385
186/494;1;295;PASSAGE MADAME DE POMPADOUR;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;5;BON;;OUI;OUI;CROSSE DROITE;0.5;BON;;ABEL;ELLO;5;BON;LED;16;;LATERALE;;SOUTERRAIN;;2.98888120695667;42.6707669181815
186/330;1;135;RUE MADAME DE STAEL;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98857469908676;42.6708191911141
186/331;1;135;RUE MADAME DE STAEL;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98836003946311;42.6708099243658
186/332;1;135;RUE MADAME DE STAEL;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98810913281772;42.6707964951741
186/333;1;135;RUE MADAME DE STAEL;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98787111160679;42.6708051192624
186/334;1;135;RUE MADAME DE STAEL;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98786244555925;42.6709893469928
186/335;1;135;RUE MADAME DE STAEL;ECLAIRAGE PUBLIC;CANDELABRE CYLINDRO CONIQUE;ACIER THERMOLAQUE;4;BON;;OUI;OUI;;;;;COMATELEC;SAPHIR;4;MOYEN;SHP;;70;TOP;;SOUTERRAIN;;2.98785662806945;42.6711521484919
